accuracy,nll,ece,brier,entropy,prob_variance,per_class_accuracy_mean,per_class_accuracy_min,eval_seconds,sample_count,method,dataset,seed,model_variant
0.9866,0.043274376541376114,0.00595919336080546,0.020807012915611267,0.06261762231588364,0.00044714740943163633,0.9864355872273377,0.9791231732776617,0.4993480332195759,5,mc_dropout,mnist,42,dropout
0.9874,0.04074937850236893,0.006883329731225976,0.01950317621231079,0.06492999196052551,0.00048399544903077185,0.9872395133543932,0.9801670146137788,2.1158961607143283,20,mc_dropout,mnist,42,dropout
0.9866,0.039320964366197586,0.0013333922535181547,0.020167777314782143,0.041804905980825424,0.0,0.9865180658769124,0.9752229930624381,0.10459612496197224,1,deterministic,mnist,123,deterministic
0.9794,0.5691990256309509,0.02059999999999995,0.041200000792741776,0.0,0.0,0.9793533135859699,0.9623389494549058,0.10623179795220494,1,output_sample,mnist,123,deterministic
0.9858,0.18623627722263336,0.0071199984788895,0.023816000670194626,0.02542470023036003,0.0016424000496044755,0.9856832706205992,0.9712586719524281,0.7000473276712,5,output_sample,mnist,123,deterministic
0.987,0.09603134542703629,0.0023250247448683304,0.021310999989509583,0.03369773551821709,0.0019279001280665398,0.9868833231302074,0.9722497522299306,2.0107625843957067,20,output_sample,mnist,123,deterministic
0.6164,2.2430078983306885,0.15481353427171707,0.5981511473655701,0.996258020401001,0.0,0.617667944177303,0.1734390485629336,0.10754601238295436,1,hidden_categorical,mnist,123,deterministic
0.7274,0.9421579837799072,0.2133484542429447,0.45540204644203186,1.2970834970474243,0.013945991173386574,0.727781386406365,0.2626362735381566,0.5071348119527102,5,hidden_categorical,mnist,123,deterministic
0.7652,0.9104224443435669,0.2670863954529166,0.4327375888824463,1.3905478715896606,0.016508687287569046,0.7656049413040013,0.27254707631318137,2.000802714843303,20,hidden_categorical,mnist,123,deterministic
0.9706,0.09073425084352493,0.007139442214369797,0.04500526562333107,0.06571146100759506,0.0,0.9704064415503749,0.9444995044598612,0.10589130176231265,1,sap,mnist,123,deterministic
0.9843,0.058830615133047104,0.018016971546411513,0.027319980785250664,0.10073982179164886,0.0016655779909342527,0.9841329532910876,0.9722497522299306,0.6590640377253294,5,sap,mnist,123,deterministic
0.986,0.05517035350203514,0.02037268352210522,0.02451724372804165,0.11023081094026566,0.001899882685393095,0.9859095887056304,0.9732408325074331,1.9885810636915267,20,sap,mnist,123,deterministic
0.9827,0.049707379192113876,0.0028390517383814146,0.025667237117886543,0.04877033084630966,0.0,0.9824877525391174,0.9682854311199207,0.10502449702471495,1,gaussian,mnist,123,deterministic
0.9859,0.04248187318444252,0.004182488000392949,0.021289478987455368,0.05391255393624306,0.0003191784198861569,0.9858085698994655,0.9732408325074331,0.5003958139568567,5,gaussian,mnist,123,deterministic
0.9863,0.04138164222240448,0.004587688338756599,0.0208885557949543,0.05613194406032562,0.0003976243897341192,0.9862315438692166,0.9732408325074331,1.9780028718523681,20,gaussian,mnist,123,deterministic
0.9872,0.03837884962558746,0.002248094683885541,0.01861831173300743,0.03476756438612938,0.0,0.9871204224486236,0.9712586719524281,0.10444814339280128,1,dropout_eval,mnist,123,dropout
0.983,0.05317692831158638,0.0019117854177951993,0.02559983916580677,0.04600479081273079,0.0,0.9829397144014104,0.9633300297324083,0.10469013312831521,1,mc_dropout,mnist,123,dropout
0.9867,0.04307437315583229,0.005540957963466696,0.02043699100613594,0.05741610750555992,0.0004894519224762917,0.9866668353254548,0.9702675916749257,0.6534480908885598,5,mc_dropout,mnist,123,dropout
0.9874,0.040946997702121735,0.006578721451759315,0.01917431689798832,0.06005769222974777,0.0005475126090459526,0.987329690376147,0.9663032705649157,1.9599018241278827,20,mc_dropout,mnist,123,dropout
0.9843,0.04759465157985687,0.0037508040755987026,0.02376195602118969,0.03508070856332779,0.0,0.9843061109687389,0.9653121902874133,0.10407864302396774,1,deterministic,mnist,456,deterministic
0.98,0.5526204109191895,0.020000000000000018,0.03999999910593033,0.0,0.0,0.9799575084351009,0.9593657086223984,0.106311010196805,1,output_sample,mnist,456,deterministic
0.9821,0.254946231842041,0.008040001758933015,0.02932799980044365,0.02139732614159584,0.0013952001463621855,0.9820887580475418,0.9593657086223984,0.5061907321214676,5,output_sample,mnist,456,deterministic
0.9835,0.12737558782100677,0.005214971941709484,0.025057001039385796,0.029362834990024567,0.001715300022624433,0.9834726214564855,0.9633300297324083,2.012431020848453,20,output_sample,mnist,456,deterministic
0.5636,2.1654727458953857,0.1069861103951931,0.6254841089248657,1.0186794996261597,0.0,0.5582321310578535,0.26386036960985626,0.10698697110638022,1,hidden_categorical,mnist,456,deterministic
0.6693,1.0450482368469238,0.15016693246811624,0.49023163318634033,1.3138365745544434,0.013628094457089901,0.6639622466956302,0.33572895277207393,0.5125187318772078,5,hidden_categorical,mnist,456,deterministic
0.7194,0.9976641535758972,0.21516181719601155,0.46293124556541443,1.3965415954589844,0.016160033643245697,0.7148992242901488,0.39117043121149897,2.165073862299323,20,hidden_categorical,mnist,456,deterministic
0.9748,0.08354905247688293,0.008283597435057164,0.03899356722831726,0.048676930367946625,0.0,0.9747488585018452,0.9484638255698712,0.10557053424417973,1,sap,mnist,456,deterministic
0.9831,0.05702706426382065,0.009554475948214514,0.027529900893568993,0.074930839240551,0.0012446800246834755,0.9831455900959958,0.9623389494549058,0.5010999827645719,5,sap,mnist,456,deterministic
0.9838,0.05244387313723564,0.01086996849775316,0.025792092084884644,0.08207668364048004,0.0014656770508736372,0.9837885602256666,0.9663032705649157,1.9903068100102246,20,sap,mnist,456,deterministic
0.98,0.06038585677742958,0.005933606043457985,0.030040735378861427,0.04047505930066109,0.0,0.9799713668546646,0.9622093023255814,0.10581519780680537,1,gaussian,mnist,456,deterministic
0.9838,0.0481196790933609,0.0040780857473611334,0.024262188002467155,0.04718828201293945,0.0003801243146881461,0.9837729423262811,0.9692765113974232,0.4983796910382807,5,gaussian,mnist,456,deterministic
0.984,0.04700512811541557,0.0026680602312088406,0.02380331978201866,0.048678383231163025,0.00043313796049915254,0.9840184442096567,0.9653121902874133,2.1446978179737926,20,gaussian,mnist,456,deterministic
0.9896,0.031121747568249702,0.0012625678539276532,0.015973947942256927,0.030412133783102036,0.0,0.9895507705667381,0.9834630350194552,0.10385203268378973,1,dropout_eval,mnist,456,dropout
0.9863,0.04047580435872078,0.0014488828033208732,0.020335236564278603,0.041422490030527115,0.0,0.9863208840246707,0.9762140733399405,0.10456043668091297,1,mc_dropout,mnist,456,dropout
0.9897,0.034340959042310715,0.005225907498598056,0.01655346155166626,0.04920191317796707,0.0003569456748664379,0.9896209195634078,0.9821605550049554,0.4957500519230962,5,mc_dropout,mnist,456,dropout
0.9899,0.03361158445477486,0.005859797471761689,0.016453469172120094,0.05246401205658913,0.00044592993799597025,0.9898651036829758,0.9834630350194552,1.9653393728658557,20,mc_dropout,mnist,456,dropout
0.8886,0.30667734146118164,0.007771843901276591,0.15883949398994446,0.2956450283527374,0.0,0.8886,0.663,0.10430930089205503,1,deterministic,fashion_mnist,42,deterministic
0.8388,4.45412015914917,0.1612,0.3224000036716461,0.0,0.0,0.8388,0.578,0.10619640303775668,1,output_sample,fashion_mnist,42,deterministic
0.8741,1.4617652893066406,0.03164000891149047,0.19177600741386414,0.19656766951084137,0.01261840108782053,0.8741,0.601,0.5064127370715141,5,output_sample,fashion_mnist,42,deterministic
0.8864,0.7014873027801514,0.009769961819052712,0.1668665111064911,0.25974205136299133,0.014909348450601101,0.8864000000000001,0.653,2.162975860759616,20,output_sample,fashion_mnist,42,deterministic
0.4333,2.831451654434204,0.19261258458197114,0.7631378769874573,1.071040391921997,0.0,0.4333,0.075,0.10655038291588426,1,hidden_categorical,fashion_mnist,42,deterministic
0.5168,1.2070568799972534,0.07021084733605384,0.5984276533126831,1.4305205345153809,0.015803415328264236,0.5168,0.118,0.5065095508471131,5,hidden_categorical,fashion_mnist,42,deterministic
0.5636,1.1517642736434937,0.1462040307566523,0.5702785849571228,1.5347089767456055,0.018771281465888023,0.5635999999999999,0.066,2.000031932722777,20,hidden_categorical,fashion_mnist,42,deterministic
0.8647,0.3819428086280823,0.023741996678709958,0.19617751240730286,0.3033565878868103,0.0,0.8647,0.617,0.10582645004615188,1,sap,fashion_mnist,42,deterministic
0.8852,0.323871374130249,0.01893239425718787,0.167180597782135,0.35845184326171875,0.002866261638700962,0.8852,0.657,0.505747043993324,5,sap,fashion_mnist,42,deterministic
0.8864,0.3161982595920563,0.02646390639245513,0.16305974125862122,0.3701619505882263,0.0034155771136283875,0.8864000000000001,0.659,2.150321640074253,20,sap,fashion_mnist,42,deterministic
0.8804,0.3337484300136566,0.010720353397726989,0.17212621867656708,0.30157363414764404,0.0,0.8804000000000001,0.654,0.10571018885821104,1,gaussian,fashion_mnist,42,deterministic
0.8867,0.31164273619651794,0.006495451328158397,0.16126428544521332,0.32132235169410706,0.0010760194854810834,0.8866999999999999,0.662,0.5018671723082662,5,gaussian,fashion_mnist,42,deterministic
0.8873,0.30842670798301697,0.0097565588235855,0.160172238945961,0.3249324858188629,0.0012975174468010664,0.8873,0.664,1.982547606807202,20,gaussian,fashion_mnist,42,deterministic
0.889,0.3042248487472534,0.0043172710627317635,0.15890102088451385,0.2998417019844055,0.0,0.889,0.635,0.10471445973962545,1,dropout_eval,fashion_mnist,42,dropout
0.8807,0.3298569917678833,0.003724119302630401,0.17016826570034027,0.3191851079463959,0.0,0.8806999999999998,0.625,0.10509419115260243,1,mc_dropout,fashion_mnist,42,dropout
0.8866,0.3111802339553833,0.012092682263255116,0.16116268932819366,0.3407117426395416,0.0008261112961918116,0.8865999999999999,0.626,0.49871173361316323,5,mc_dropout,fashion_mnist,42,dropout
0.8883,0.3078497052192688,0.013059780663251854,0.15984249114990234,0.3452388048171997,0.0009714842308312654,0.8883000000000001,0.633,2.126636085100472,20,mc_dropout,fashion_mnist,42,dropout
0.8858,0.3070198595523834,0.011830075871944398,0.15941576659679413,0.2809738218784332,0.0,0.8857999999999999,0.721,0.10431455168873072,1,deterministic,fashion_mnist,123,deterministic
0.8431,4.3353071212768555,0.15690000000000004,0.31380000710487366,0.0,0.0,0.8431,0.651,0.1071090642362833,1,output_sample,fashion_mnist,123,deterministic
0.88,1.445464015007019,0.03546001332998275,0.1849600076675415,0.17944025993347168,0.011568000540137291,0.8800000000000001,0.684,0.5079363510012627,5,output_sample,fashion_mnist,123,deterministic
0.8857,0.7373557090759277,0.01511497822403907,0.1662215143442154,0.24347543716430664,0.014062848873436451,0.8856999999999999,0.7,2.169675184879452,20,output_sample,fashion_mnist,123,deterministic
0.5764,3.214576244354248,0.22595161035060884,0.6811418533325195,0.6322122812271118,0.0,0.5764,0.343,0.10714865988120437,1,hidden_categorical,fashion_mnist,123,deterministic
0.7345,0.8637142777442932,0.17774400619268416,0.421901673078537,1.1416314840316772,0.0252438522875309,0.7345,0.44,0.5090143261477351,5,hidden_categorical,fashion_mnist,123,deterministic
0.8154,0.783271074295044,0.28320713061690334,0.3730095326900482,1.3171825408935547,0.029992075636982918,0.8154,0.486,2.0206528450362384,20,hidden_categorical,fashion_mnist,123,deterministic
0.8577,0.3987535238265991,0.032148115307092676,0.20393089950084686,0.29831334948539734,0.0,0.8577,0.674,0.10704775806516409,1,sap,fashion_mnist,123,deterministic
0.8815,0.3278091251850128,0.017249063876271276,0.16994409263134003,0.3585425615310669,0.0032794098369777203,0.8815000000000002,0.718,0.5054785166867077,5,sap,fashion_mnist,123,deterministic
0.8861,0.31751835346221924,0.02593107431828974,0.16276711225509644,0.3728850185871124,0.003957279026508331,0.8860999999999999,0.723,2.1552196252159774,20,sap,fashion_mnist,123,deterministic
0.8788,0.3273817002773285,0.01619118618071079,0.1698598563671112,0.28651395440101624,0.0,0.8787999999999998,0.713,0.11237873509526253,1,gaussian,fashion_mnist,123,deterministic
0.8872,0.31086254119873047,0.0032434671998023776,0.1617775410413742,0.3019971549510956,0.0008655492565594614,0.8872,0.722,0.5033554490655661,5,gaussian,fashion_mnist,123,deterministic
0.886,0.307418555021286,0.007701666522026066,0.15957970917224884,0.3052479922771454,0.001021407195366919,0.8859999999999999,0.72,1.9930310198105872,20,gaussian,fashion_mnist,123,deterministic
0.8881,0.3078715205192566,0.0067145172178745315,0.16023974120616913,0.28893500566482544,0.0,0.8881,0.625,0.10591396735981107,1,dropout_eval,fashion_mnist,123,dropout
0.8821,0.32878822088241577,0.009377891188859972,0.16872438788414001,0.305461585521698,0.0,0.8821,0.624,0.10454790433868766,1,mc_dropout,fashion_mnist,123,dropout
0.8882,0.3149290382862091,0.008619812074303634,0.16239655017852783,0.3273952603340149,0.0008419746300205588,0.8882,0.629,0.6537293749861419,5,mc_dropout,fashion_mnist,123,dropout
0.8888,0.3094123899936676,0.00907013449370864,0.16054533421993256,0.33199307322502136,0.0009763063280843198,0.8888,0.624,1.9702163371257484,20,mc_dropout,fashion_mnist,123,dropout
