dataset,model_variant,method,sample_count,n_seeds,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,nll_mean,nll_std,nll_ci_low,nll_ci_high,ece_mean,ece_std,ece_ci_low,ece_ci_high,brier_mean,brier_std,brier_ci_low,brier_ci_high,entropy_mean,entropy_std,entropy_ci_low,entropy_ci_high,prob_variance_mean,prob_variance_std,prob_variance_ci_low,prob_variance_ci_high,eval_seconds_mean,eval_seconds_std,eval_seconds_ci_low,eval_seconds_ci_high,per_class_accuracy_min_mean,per_class_accuracy_min_std,per_class_accuracy_min_ci_low,per_class_accuracy_min_ci_high
fashion_mnist,deterministic,sap,1,3,0.8603999999999999,0.003764306044943748,0.8510489453951855,0.8697510546048144,0.39522022008895874,0.011910531594472732,0.36563281938813524,0.42480762078978224,0.029527600092689177,0.005017872565333925,0.0170625136203858,0.041992686564992554,0.20211606721083322,0.005270917223970353,0.1890223829592541,0.21520975146241234,0.29961584011713666,0.0032889795980497526,0.2914455618644438,0.3077861183698295,0.0,0.0,0.0,0.0,0.10610838544865449,0.0008349048371502161,0.10403436685696686,0.10818240404034211,0.5946666666666666,0.09254368337889592,0.364775412800869,0.8245579205324641
fashion_mnist,deterministic,sap,5,3,0.8828999999999999,0.0020074859899884816,0.8779131283464591,0.8878868716535407,0.3291988670825958,0.006141449654939541,0.31394266038994445,0.3444550737752472,0.016615225356817268,0.002690675358850291,0.009931217227819908,0.023299233485814627,0.17013507088025412,0.003054443333540551,0.16254741300700165,0.1777227287535066,0.35829412937164307,0.0003546454726081041,0.35741314117883577,0.35917511756445036,0.0030850210847953954,0.00020764947983597536,0.0025691911811095095,0.0036008509884812813,0.5037316018715501,0.0032610617932289643,0.49563067529064186,0.5118325284524583,0.6353333333333334,0.09536421411270231,0.3984354927045366,0.8722311739621302
fashion_mnist,deterministic,sap,20,3,0.8861333333333333,0.0002516611478423306,0.8855081723853958,0.8867584942812708,0.3196982145309448,0.004962952182599868,0.3073695578525349,0.33202687120935476,0.024145249011119207,0.00356455622904195,0.015290400456901552,0.03300009756533686,0.16437555849552155,0.002536709600455003,0.15807402251327216,0.17067709447777094,0.3706099291642507,0.0020874686504502183,0.36542436956757074,0.3757954887609306,0.0036724941649784646,0.0002719240734793633,0.0029969973193156104,0.004347991010641318,2.0951096274269125,0.0999018124607006,1.8469397676210773,2.343279487232748,0.6383333333333333,0.09667126425848235,0.39818860014625546,0.8784780665204112
fashion_mnist,dropout,dropout_eval,1,3,0.8906000000000001,0.003579106033634682,0.8817090077274949,0.8994909922725052,0.3052525619665782,0.002285519642525762,0.2995750164316338,0.31093010750152256,0.008194348444541316,0.004791560253379123,-0.0037085470790017283,0.02009724396808436,0.15811701118946075,0.0026047830694419806,0.15164637133573114,0.16458765104319037,0.281525323788325,0.02293712343114147,0.22454635047395435,0.33850429710269564,0.0,0.0,0.0,0.0,0.10491652398680647,0.0009133321400606392,0.1026476811743282,0.10718536679928474,0.6466666666666666,0.029297326385411604,0.5738880733392077,0.7194452599941256
fashion_mnist,dropout,mc_dropout,1,3,0.8822666666666666,0.0016563010998406323,0.878152186642539,0.8863811466907943,0.32923535505930585,0.0005553432736423036,0.3278558058902841,0.33061490422832757,0.00916185901363692,0.005333006312327348,-0.0040860630838180055,0.022409781111091844,0.16861343880494437,0.0016131655169801032,0.16460611350891888,0.17262076410096985,0.2999062240123749,0.022575176123133346,0.24382637765549373,0.35598607036925606,0.0,0.0,0.0,0.0,0.10471530243133505,0.0003288670479994123,0.1038983513952477,0.1055322534674224,0.6363333333333334,0.020502032419575725,0.5854034614323375,0.6872632052343294
fashion_mnist,dropout,mc_dropout,5,3,0.8882333333333333,0.0016502525059315272,0.8841338788494383,0.8923327878172284,0.3121437629063924,0.0024499905134223376,0.3060576490785694,0.3182298767342154,0.009634524429837865,0.00213959294564239,0.00431948090577263,0.0149495679539031,0.1604251762231191,0.0024257277215996888,0.15439933451145513,0.1664510179347831,0.32287882765134174,0.02046832140732403,0.27203269854718154,0.37372495675550194,0.0009159174902985493,0.00014203248202069866,0.0005630892454174311,0.0012687457351796675,0.5481876709188024,0.09146116627368904,0.320985538617664,0.7753898032199408,0.642,0.02515949125081827,0.5795003589753899,0.7044996410246102
fashion_mnist,dropout,mc_dropout,20,3,0.89,0.0025238858928248067,0.8837303198734793,0.8962696801265208,0.3073237140973409,0.0023953827749016968,0.30137325341213045,0.3132741747825513,0.00911735029319923,0.003919035793735085,-0.0006180743157174814,0.01885277490211594,0.15876187880833945,0.002505126776487276,0.15253879891015187,0.16498495870652702,0.3276376227537791,0.0201353578450861,0.27761862099121287,0.37765662451634535,0.0010742573261571426,0.00017384888382882143,0.0006423927576922651,0.0015061218946220201,2.0362410647794604,0.08100751670454036,1.835007237598467,2.237474891960454,0.6446666666666667,0.028360771028541076,0.5742146058203517,0.7151187275129818
mnist,deterministic,deterministic,1,3,0.9854666666666668,0.0011503622617825338,0.9826090083899984,0.9883243249433352,0.043813797334829964,0.004182542325490257,0.03342378621308769,0.05420380845657224,0.00204733893076579,0.001481664630627638,-0.0016333200543429483,0.005727997915874528,0.021992764125267666,0.0017977388430377528,0.017526933269399178,0.026458594981136153,0.03966459011038145,0.003972652468980787,0.029795974296508217,0.04953320592425468,0.0,0.0,0.0,0.0,0.1107327329615752,0.01108009080196363,0.08320826155079938,0.138257204372351,0.9716226107401628,0.005483086075635363,0.9580018698429038,0.9852433516374217
mnist,deterministic,gaussian,1,3,0.9819999999999999,0.0017578395831246904,0.9776332844003524,0.9863667155996474,0.05373500163356463,0.0058024549324647,0.03932090451509735,0.0681490987520319,0.0036463799923658305,0.0020091390455068644,-0.0013445980787278344,0.008637358063459496,0.027073339869578678,0.0025710110979663735,0.020686594243791788,0.03346008549536557,0.04515770201881727,0.004249891739641354,0.03460038567751797,0.05571501836011657,0.0,0.0,0.0,0.0,0.10728676989674568,0.003257683315137771,0.09919423592067211,0.11537930387281925,0.9655379433182475,0.0030794706614774743,0.9578881141158425,0.9731877725206525
mnist,deterministic,gaussian,5,3,0.9849333333333333,0.001059874206372303,0.9823004598475724,0.9875662068190942,0.045912339041630425,0.0030113520914434224,0.03843172574791759,0.05339295233534326,0.0035924998799959904,0.0009329359624177755,0.0012749584731059057,0.005910041286886075,0.022903841609756153,0.001502800038043356,0.019170679362032823,0.026637003857479483,0.05116016666094462,0.0035241082001211672,0.042405796580735046,0.05991453674115419,0.0003185373983190705,6.19099161535848e-05,0.00016474464087064958,0.00047233015576749143,0.49838483799248934,0.0020084074335646536,0.4933956773462117,0.503373998638767,0.9722833309251643,0.0026605898776480854,0.9656740592745975,0.9788926025757311
